Cell_Line,CH,CH,CH,CH,CH,CH,43,43,43,43,43,43,Io,Io,Io,Io,Io,Io,LN,LN,LN,LN,LN,LN
Plate_Layout,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A
Replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Well,,,,,,,,,,,,,,,,,,,,,,,,
B02,0.042734301266761136,0.04769760850355121,0.04554545440730122,0.019712536849256543,0.017440635503046774,0.018431745303856106,0.06226472483230257,0.055739437820012776,0.05905440350598461,0.047679818319327216,0.04404712216221656,0.0501803829023409,0.1025139359519766,0.1200439149835916,0.11122491742553622,0.029631593859154686,0.029860503660776846,0.032173744493077756,0.13161945408662082,0.13976275488966422,0.13190983588669547,0.24567047016296378,0.24522068042105538,0.2652792590155623
B03,0.006531970762892787,0.010098731711402003,0.009731613289368645,0.35310823887474496,0.1028412132795569,0.1058682292573769,0.012864162079720739,0.017108717718237503,0.019321480447445763,0.18759347261946932,0.19131972406491948,0.18502649398017015,0.014608069573866284,0.01938486232143859,0.01639687986538925,0.27236874668105426,0.19919264425644656,0.269714848526379,0.3340223419057718,0.3172571214206786,0.34583999453848513,0.08633026969483402,0.09144090032301891,0.10232420620178254
B04,0.013501518053520097,0.011751667375465707,0.01436103838218813,0.016010716602511448,0.015943597530275813,0.015079728408167214,0.061316265424729934,0.012350247008249713,0.012128997565238173,0.027927756749621648,0.025839254231922355,0.03305546510328524,0.03881620506088119,0.04040166394302241,0.03615880176242866,0.03392947784523987,0.03721769473683134,0.02798879574138283,0.08002809216962885,0.12026211824384657,0.12194155326526249,0.023474603378671865,0.032691119520273496,0.03020522342824121
B05,0.08531103085999597,0.10108173768663273,0.06809948083036034,0.6727218852232252,0.6702543850260217,0.6842759177171048,0.008843566338194461,0.008254348169272882,0.008588732863158902,0.23253821536318692,0.21468206617849278,0.16563539634887908,0.05767402973446497,0.057202879845556664,0.056491337153844606,0.5998751703383599,0.5777192496431326,0.6396395802542576,0.6761441119738648,0.6598558229452782,0.6889765901174448,0.16936596203645438,0.17629441100263693,0.18111068376898293
B06,0.009349972134585327,0.010359806765253398,0.010456963503474763,0.5012003147235281,0.46466856464583917,0.4327181361328571,0.0685071139906484,0.06008090525453913,0.07487152885751777,0.311419248824539,0.3903600121855031,0.37541924412723493,0.00674423957249532,0.007143215706577026,0.007150434513874492,0.21029177463652543,0.21904824915451698,0.19475619410765638,0.538827689378485,0.5199181146786062,0.5367516240594491,0.036458467630828835,0.04144671826884154,0.0421462247808614
B07,0.028362181729374297,0.03111792463641156,0.027926744311924795,0.6288415538857391,0.669721977639912,0.6701722305451012,0.01866611721432021,0.027714501024140185,0.017171128736994272,0.31332062611422773,0.3440165628568603,0.2948869510646256,0.02804762500274051,0.028787720255325014,0.03276592219920312,0.5802851116601933,0.6480782209758144,0.6013590306687148,0.9460233050529963,0.8715619057945094,0.8998185496942182,0.043965741661246456,0.05316701109998509,0.08411065998235653
B08,0.025892699012885486,0.013501218381633292,0.018846843543842084,0.03573151029990199,0.03727710424358742,0.032822375556424505,0.00279391940685524,0.002018483406634694,0.004592695946760779,0.025804395261884626,0.029682750166017992,0.029665126620558434,0.00746839125250799,0.007635675186935316,0.008304707374687482,0.05875168805230073,0.062136324691282364,0.0677770243132531,0.5795480396720206,0.5615553521838258,0.6067300191362981,0.04848616894059815,0.04972704820372971,0.05888695365595277
